,No.,neg,neu,pos,compound,Hotel Name,Ratings,Reviews
176,179,0.04,0.654,0.306,0.9191,Mercure Singapore On Stevens,4,housekeeping could better twice room cleaned despite please make room sign day cleaned particularly thorough staff really friendly especially lady check two nice big pools big gym several restaurants easy access orchard road good price booked though varies 
177,180,0.0,1.0,0.0,0.0,Mercure Singapore On Stevens,4,twin room small shuttle bus mrt convenient 
178,181,0.0,0.58,0.42,0.4404,Mercure Singapore On Stevens,4,small room good one person 
179,182,0.07,0.581,0.349,0.8442,Mercure Singapore On Stevens,4,altitude front office staff good breakfast thing two days stay better different food day location bit isolated good family vacation appreciate shuttle service orchard 
180,183,0.0,0.667,0.333,0.7893,Mercure Singapore On Stevens,3,deluxe room sizes small accommodate two adults comfortably luggage staff guest house highly hospitable beautiful location 
181,184,0.0,0.722,0.278,0.6124,Mercure Singapore On Stevens,3,shuttle bus main mrt station orchard road silent room good breakfast well organized timing servicing 
182,185,0.0,0.683,0.317,0.7579,Mercure Singapore On Stevens,4,nothing find booking com efficient affordable system choice hotels excellent comments hotels valid prices average average 
183,186,0.0,0.58,0.42,0.4404,Mercure Singapore On Stevens,4,much indian food good food 
184,187,0.0,0.633,0.367,0.4404,Mercure Singapore On Stevens,3,size room appropriate location good stay 
185,188,0.0,0.602,0.398,0.836,Mercure Singapore On Stevens,4,room size small well mannered staff promt service clean nice cool facilities inside hotel various cuisines multi racial guests 
186,189,0.084,0.808,0.108,0.1935,Mercure Singapore On Stevens,4,service slow problems room needed change waiting  minutes proper working hour pm am stored luggage reception checking waited  minutes luggage taken seems staff really trained properly friendly though 
187,190,0.092,0.612,0.296,0.6124,Mercure Singapore On Stevens,2,size room small n bathroom tiny charged twice requested refund today response location good nothing good 
188,191,0.042,0.724,0.234,0.8442,Mercure Singapore On Stevens,4,pool great food beverage service noon time visited pool asked breakfast place next could order drink call waiter another restaurant lobby bring menu us returned evening sat pool close  hours nobody approach us clean comfortable bed surrounding quiet busy bus stop steps away lobby 
189,192,0.132,0.868,0.0,-0.8126,Mercure Singapore On Stevens,0,terrible experience ever hotel ever  hours checkin baby first  room keys work room rebooked another couple walked room still also revoked room card took extra hour fix next morning  hour queue breakfast clueless staff kept disappearing idea total disrespect visitors time addition called reception questions said get back answers never room lights turned am apparent reason happened nights 
190,193,0.126,0.738,0.136,0.3182,Mercure Singapore On Stevens,0,check system working arrived already day hunt staff get information end pin staff allowing close door leads office behind reception make sure could still see us waiting come solution get take responsibility problem find us suitable accommodation extra cost us end around  hours waiting still apology compensation wait disruption getting  hour flight uk walking shambles thought would least expect us pay stay due disruption took full money almost week late possibly help cover cost failure system management need go course better look customers instead hiding back room hoping go away communicate affected appreciated booked mecure location proximity shopping district short walk orchard road short walk mrt stevens downtown line 
191,194,0.231,0.769,0.0,-0.4939,Mercure Singapore On Stevens,4,delayed response social media lack assistance reservation department nee property  hrs gym restaurants hotel express check 
192,195,0.111,0.741,0.148,0.3612,Hotel Boss,3,room really small family four much space movement toilet bidet facial tissues ones available instead toilet paper also stinking smell room came time complain request room changes due tight schedules pool definitely made kids mind kiddie pool small play area much location convenient short walk lots nice chinese indian restaurants well mustafa center bus stops lavender station 
193,196,0.0,0.635,0.365,0.3182,Hotel Boss,3,room service facilities increase facilities 
194,197,0.183,0.699,0.118,-0.128,Hotel Boss,4,breakfast corporate group separate breakfast mix guests coz messy noisy breakfast lot variety pool always clean always towel available 
195,198,0.0,0.651,0.349,0.7096,Hotel Boss,4,small room many people breakfast staff cafe friendly enough city nearby interesting location 
196,199,0.0,0.453,0.547,0.902,Hotel Boss,3,staff helpful friendly location good close mrt although family  found grab uber better option 
197,200,0.0,0.559,0.441,0.7845,Hotel Boss,4,room clean big sometimes little bit noise next doors location good breakfast acceptable 
198,201,0.0,0.286,0.714,0.3612,Hotel Boss,3,comfort location 
199,202,0.0,0.508,0.492,0.4404,Hotel Boss,4,cleaning one day good 
200,203,0.0,0.43,0.57,0.9451,Hotel Boss,4,breakfast free cost included stay though room smaller size neat clean centrally located break fast k kind could better warm 
201,204,0.043,0.682,0.275,0.8807,Hotel Boss,4,room actually really smaller appears photos bathroom walls clean wash basin drain kind blocked takes lot time drain shower handle secured correctly hand held use room service took bath towels replace number towels one location buffet breakfast swimming pool 
202,205,0.0,1.0,0.0,0.0,Hotel Boss,3,aircon one rooms working properly shuts middle night 
203,206,0.21,0.659,0.131,-0.228,Hotel Boss,3,staff kinda stupid iron rooms tiny room iron clothing always lot people night really noisy neighbours location really good 
204,207,0.0,0.508,0.492,0.4404,Hotel Boss,4,good small room price 
205,208,0.0,0.519,0.481,0.5719,Hotel Boss,4,guess facility price paid excellent 
206,209,0.0,0.703,0.297,0.6705,Hotel Boss,4,less food eat separate western customers indian customers could eat indian food view nice clean 
207,210,0.171,0.62,0.209,0.128,Hotel Boss,4,bit clean facilities room eg iron hair dryer missing location 
208,211,0.0,1.0,0.0,0.0,Hotel Boss,4,room small lighting updated 
209,212,0.118,0.625,0.257,0.8484,Hotel Boss,4,found stuff previous guests one bed hotel full checked alleyway front room quite noisy lot food waste left front doors booked room  double bed  single bed made booking already know size room pretty compact surprised facilities room working perfectly water pressure shower great check swift 
210,213,0.0,0.408,0.592,0.4404,Hotel Boss,4,location facilities good 
211,214,0.121,0.496,0.383,0.5719,Hotel Boss,3,noisy people hallways sounds like standing room acoustics could better 
212,215,0.198,0.534,0.267,0.4215,Hotel Boss,3,staff refused give extra drinking water alternate day housekeeping unacceptable location superb near mrt complimentary parking house guests 
213,216,0.0,1.0,0.0,0.0,Hotel Boss,4,bedroom bathroom small costumer service amenities pool 
214,217,0.0,0.708,0.292,0.765,Hotel Boss,4,costs high currently location usual accessible walking distance food places good conection city centre breakfast wonderful rooms cosy 
215,218,0.0,0.82,0.18,0.0258,Hotel Boss,4,crowded front lobby location near mrt 
216,219,0.0,1.0,0.0,0.0,Hotel Boss,3,crowded location 
217,220,0.0,0.351,0.649,0.5719,Royal Plaza on Scotts,4,bathrobes location excellent 
218,221,0.0,0.456,0.544,0.5542,Royal Plaza on Scotts,4,room quite big comfortable 
219,222,0.0,0.791,0.209,0.4404,Royal Plaza on Scotts,4,room quite spacious food carousel good near heart famous malls orchard rd 
220,223,0.0,0.69,0.31,0.743,Royal Plaza on Scotts,4,queue breakfast long almost every day food served ok great location close orchard road mrt station 
221,224,0.0,0.0,0.0,0.0,Royal Plaza on Scotts,5,
222,225,0.108,0.848,0.044,-0.4067,Royal Plaza on Scotts,4,nothing breakfast fantastic many choices different dishes hotel main central area near orchard road mrt station  meters prices singapore high book advance get discounted rate 
223,226,0.041,0.589,0.369,0.9666,Royal Plaza on Scotts,4,washroom shower heads need deep clean would prefer child friendly tv channels location excellent buffet prices quite high hence preferred eat pool significantly small could better staffed rooms spacious air conditioning fluctuated quite bit night causing bit disturbance free drinks loved kids nespresso bonus adults 
224,227,0.07,0.503,0.427,0.9861,Royal Plaza on Scotts,4,complaint bed bit dusty uncomfortable keep sneezing goodnight sleep wish improve cleanliness sheets location great right heart orchard near shopping malls restaurants mrt tourists attractions like free pocket wifi smooth checkin checkout took long staff friendly hotel decor furnishings nice bright modern room average size complete toiletries bathroom spacious clean selection complimentary drinks inside room surprising breakfast buffet serves halal good selections limited hope add 
225,228,0.0,0.465,0.535,0.3182,Royal Plaza on Scotts,4,tv channel please 
226,229,0.0,0.424,0.576,0.7783,Royal Plaza on Scotts,4,bath shower room fantastic location friendly staff 
227,230,0.152,0.379,0.469,0.7717,Royal Plaza on Scotts,5,location great steal sgd christmas season kids thrilled hear minibar items complimentary 
228,231,0.0,0.643,0.357,0.7269,Royal Plaza on Scotts,4,food restaurant less varieties quality compare  years ago friendly staff good example syed 
229,232,0.0,1.0,0.0,0.0,Royal Plaza on Scotts,4,pool small 
230,233,0.0,1.0,0.0,0.0,Royal Plaza on Scotts,4,kids swimming pool adult pool deep conducive swimming 
231,234,0.0,0.599,0.401,0.9371,Royal Plaza on Scotts,5,wished room view could better one night stay perfect amenities available room clean room pretty spacious  adults  child service good prompt bringing baby cot requested check took  minutes 
232,235,0.0,1.0,0.0,0.0,Royal Plaza on Scotts,4,breakfast convenient shopping orchard road 
233,236,0.0,0.566,0.434,0.8481,Royal Plaza on Scotts,4,love staff also location one concierge offered praying mat also praying time first us since 
234,237,0.07,0.432,0.499,0.9509,Royal Plaza on Scotts,5,think everything fine awesome room clean n comfortable everyday get complimentary mini bar even wifi router yes free eachday sign prayer direction moslem restaurant halal sertificate worry 
235,238,0.274,0.726,0.0,-0.6478,Royal Plaza on Scotts,4,breakfast variety food poor identical breakfast repeated  night stay extremely limited options vegetarians location cleanliness staff 
236,239,0.0,0.667,0.333,0.9382,Royal Plaza on Scotts,4,none room quite spacious room facilities quite complete needed items room highlight room nespresso coffee machine generous free minibar location excellent within close walking distance mrt stations since restaurants halal resto makes dining hotel much easier 
237,240,0.504,0.496,0.0,-0.2584,Royal Plaza on Scotts,5,nothing value money 
238,241,0.0,0.513,0.487,0.8225,Royal Plaza on Scotts,4,buffet breakfast area super crowded long queue room upgraded thankful 
239,242,0.0,0.707,0.293,0.4404,Royal Plaza on Scotts,5,price everything except price cheaper would much better 
